Type	MGI ID	Symbol	Name	Chr	Start	End	Build	Strand	Best Match Type	Best Match
protein coding gene	MGI:87978	Ak2	adenylate kinase 2	4	128887017	128905322	GRCm39	+	Component (subterm)	mitochondrial inner membrane (ancestor term ID: GO:0031966)
protein coding gene	MGI:1919494	1600014C10Rik	RIKEN cDNA 1600014C10 gene	7	37882642	37896992	GRCm39	+	Component	mitochondrial membrane (term ID: GO:0031966)
protein coding gene	MGI:1351667	Abcb8	ATP-binding cassette, sub-family B (MDR/TAP), member 8	5	24598661	24615052	GRCm39	+	Component	mitochondrial membrane (term ID: GO:0031966)
protein coding gene	MGI:1349215	Abcd1	ATP-binding cassette, sub-family D (ALD), member 1	X	72760203	72782140	GRCm39	+	Component	mitochondrial membrane (term ID: GO:0031966)
protein coding gene	MGI:1914272	Acad9	acyl-Coenzyme A dehydrogenase family, member 9	3	36120128	36147002	GRCm39	+	Component	mitochondrial membrane (term ID: GO:0031966)
protein coding gene	MGI:2143169	Acad11	acyl-Coenzyme A dehydrogenase family, member 11	9	103940923	104004855	GRCm39	+	Component	mitochondrial membrane (term ID: GO:0031966)
protein coding gene	MGI:87866	Acadl	acyl-Coenzyme A dehydrogenase, long-chain	1	66869998	66902436	GRCm39	-	Component	mitochondrial membrane (term ID: GO:0031966)
protein coding gene	MGI:87867	Acadm	acyl-Coenzyme A dehydrogenase, medium chain	3	153627994	153650269	GRCm39	-	Component	mitochondrial membrane (term ID: GO:0031966)
protein coding gene	MGI:87868	Acads	acyl-Coenzyme A dehydrogenase, short chain	5	115248358	115257405	GRCm39	-	Component	mitochondrial membrane (term ID: GO:0031966)
protein coding gene	MGI:895149	Acadvl	acyl-Coenzyme A dehydrogenase, very long chain	11	69901009	69906237	GRCm39	-	Component	mitochondrial membrane (term ID: GO:0031966)
protein coding gene	MGI:1354713	Acsl4	acyl-CoA synthetase long-chain family member 4	X	141100989	141173531	GRCm39	-	Component	mitochondrial membrane (term ID: GO:0031966)
protein coding gene	MGI:2148801	Afg1l	AFG1 like ATPase	10	42188581	42354561	GRCm39	-	Component	mitochondrial membrane (term ID: GO:0031966)
protein coding gene	MGI:1917173	Agk	acylglycerol kinase	6	40302106	40373696	GRCm39	+	Component	mitochondrial membrane (term ID: GO:0031966)
protein coding gene	MGI:1918611	Aifm2	apoptosis-inducing factor, mitochondrion-associated 2	10	61551042	61575039	GRCm39	+	Component	mitochondrial membrane (term ID: GO:0031966)
protein coding gene	MGI:1888908	Aldh18a1	aldehyde dehydrogenase 18 family, member A1	19	40538701	40576907	GRCm39	-	Component	mitochondrial membrane (term ID: GO:0031966)
protein coding gene	MGI:87983	Alpl	alkaline phosphatase, liver/bone/kidney	4	137469044	137523695	GRCm39	-	Component	mitochondrial membrane (term ID: GO:0031966)
protein coding gene	MGI:96819	Anxa1	annexin A1	19	20350798	20368035	GRCm39	-	Component	mitochondrial membrane (term ID: GO:0031966)
protein coding gene	MGI:2448730	Atcay	ataxia, cerebellar, Cayman type	10	81040342	81066667	GRCm39	-	Component	mitochondrial membrane (term ID: GO:0031966)
