Type	MGI ID	Symbol	Name	Chr	Start	End	Build	Strand	Best Match Type	Best Match
protein coding gene	MGI:87951	Afp	alpha fetoprotein	5	90638596	90656766	GRCm39	+	Component	extracellular region (term ID: GO:0005576)
protein coding gene	MGI:1915162	1600012H06Rik	RIKEN cDNA 1600012H06 gene	17	15163446	15166201	GRCm39	+	Component	extracellular region (term ID: GO:0005576)
protein coding gene	MGI:1916742	1700029I15Rik	RIKEN cDNA 1700029I15 gene	2	92213263	92213948	GRCm39	+	Component	extracellular region (term ID: GO:0005576)
protein coding gene	MGI:1916792	2300002M23Rik	RIKEN cDNA 2300002M23 gene	17	35878382	35879842	GRCm39	+	Component	extracellular region (term ID: GO:0005576)
protein coding gene	MGI:1916728	2300009A05Rik	RIKEN cDNA 2300009A05 gene	9	63301729	63306526	GRCm39	-	Component	extracellular region (term ID: GO:0005576)
protein coding gene	MGI:1914969	2310057J18Rik	RIKEN cDNA 2310057J18 gene	10	28848284	28862299	GRCm39	-	Component	extracellular region (term ID: GO:0005576)
protein coding gene	MGI:1919753	2610507B11Rik	RIKEN cDNA 2610507B11 gene	11	78152578	78181449	GRCm39	+	Component	extracellular region (term ID: GO:0005576)
protein coding gene	MGI:1917295	2610528A11Rik	RIKEN cDNA 2610528A11 gene	14	36824097	36832058	GRCm39	-	Component	extracellular region (term ID: GO:0005576)
protein coding gene	MGI:1925368	4930451I11Rik	RIKEN cDNA 4930451I11 gene	7	126429640	126430712	GRCm39	-	Component	extracellular region (term ID: GO:0005576)
protein coding gene	MGI:1922258	4930486L24Rik	RIKEN cDNA 4930486L24 gene	13	60990426	61012230	GRCm39	-	Component	extracellular region (term ID: GO:0005576)
protein coding gene	MGI:1922045	4930503L19Rik	RIKEN cDNA 4930503L19 gene	18	70585283	70605580	GRCm39	-	Component	extracellular region (term ID: GO:0005576)
protein coding gene	MGI:1921609	4931414P19Rik	RIKEN cDNA 4931414P19 gene	14	54821120	54843450	GRCm39	-	Component	extracellular region (term ID: GO:0005576)
protein coding gene	MGI:1924977	6030468B19Rik	RIKEN cDNA 6030468B19 gene	11	117688486	117698127	GRCm39	+	Component	extracellular region (term ID: GO:0005576)
protein coding gene	MGI:2152878	A1bg	alpha-1-B glycoprotein	15	60789438	60793119	GRCm39	-	Component	extracellular region (term ID: GO:0005576)
protein coding gene	MGI:2449119	A2m	alpha-2-macroglobulin	6	121612920	121656197	GRCm39	+	Component	extracellular region (term ID: GO:0005576)
protein coding gene	MGI:3039594	A2ml1	alpha-2-macroglobulin like 1	6	128516784	128558571	GRCm39	-	Component	extracellular region (term ID: GO:0005576)
protein coding gene	MGI:1921354	Abcb6	ATP-binding cassette, sub-family B (MDR/TAP), member 6	1	75148361	75157036	GRCm39	-	Component	extracellular region (term ID: GO:0005576)
protein coding gene	MGI:1351634	Abcc6	ATP-binding cassette, sub-family C (CFTR/MRP), member 6	7	45625804	45679915	GRCm39	-	Component	extracellular region (term ID: GO:0005576)
protein coding gene	MGI:1914727	Abhd15	abhydrolase domain containing 15	11	77405943	77411454	GRCm39	+	Component	extracellular region (term ID: GO:0005576)
protein coding gene	MGI:1915468	Abhd18	abhydrolase domain containing 18	3	40825532	40892573	GRCm39	+	Component	extracellular region (term ID: GO:0005576)
protein coding gene	MGI:2135738	Abo	ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase, transferase B, alpha 1-3-galactosyltransferase)	2	26732515	26754991	GRCm39	-	Component	extracellular region (term ID: GO:0005576)
protein coding gene	MGI:99602	Acan	aggrecan	7	78703231	78764847	GRCm39	+	Component	extracellular region (term ID: GO:0005576)
protein coding gene	MGI:87874	Ace	angiotensin I converting enzyme (peptidyl-dipeptidase A) 1	11	105858774	105880790	GRCm39	+	Component	extracellular region (term ID: GO:0005576)
protein coding gene	MGI:1917258	Ace2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	X	162922338	162971414	GRCm39	+	Component	extracellular region (term ID: GO:0005576)
protein coding gene	MGI:87876	Ache	acetylcholinesterase	5	137286516	137292728	GRCm39	+	Component	extracellular region (term ID: GO:0005576)
protein coding gene	MGI:2142121	Acp7	acid phosphatase 7, tartrate resistant	7	28306701	28330757	GRCm39	-	Component	extracellular region (term ID: GO:0005576)
protein coding gene	MGI:1928480	Acpp	acid phosphatase, prostate	9	104165439	104214921	GRCm39	-	Component	extracellular region (term ID: GO:0005576)
