Type	MGI ID	Symbol	Name	Chr	Start	End	Build	Strand	Best Match Type	Best Match
protein coding gene	MGI:87961	Agrn	agrin	4	156249747	156281945	GRCm39	-	Component	cell surface (term ID: GO:0009986)
protein coding gene	MGI:3608415	9830107B12Rik	RIKEN cDNA 9830107B12 gene	17	48436215	48453439	GRCm39	-	Component	cell surface (term ID: GO:0009986)
protein coding gene	MGI:2443476	A530064D06Rik	RIKEN cDNA A530064D06 gene	17	48459064	48474425	GRCm39	-	Component	cell surface (term ID: GO:0009986)
protein coding gene	MGI:107809	Aamp	angio-associated migratory protein	1	74318999	74323897	GRCm39	-	Component	cell surface (term ID: GO:0009986)
protein coding gene	MGI:1351646	Abca7	ATP-binding cassette, sub-family A (ABC1), member 7	10	79832328	79851406	GRCm39	+	Component	cell surface (term ID: GO:0009986)
protein coding gene	MGI:97570	Abcb1a	ATP-binding cassette, sub-family B (MDR/TAP), member 1A	5	8710077	8798575	GRCm39	+	Component	cell surface (term ID: GO:0009986)
protein coding gene	MGI:1351619	Abcb11	ATP-binding cassette, sub-family B (MDR/TAP), member 11	2	69068626	69172960	GRCm39	-	Component	cell surface (term ID: GO:0009986)
protein coding gene	MGI:1352447	Abcc2	ATP-binding cassette, sub-family C (CFTR/MRP), member 2	19	43770747	43826771	GRCm39	+	Component	cell surface (term ID: GO:0009986)
protein coding gene	MGI:1917258	Ace2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	X	162922338	162971414	GRCm39	+	Component	cell surface (term ID: GO:0009986)
protein coding gene	MGI:87876	Ache	acetylcholinesterase	5	137286516	137292728	GRCm39	+	Component	cell surface (term ID: GO:0009986)
protein coding gene	MGI:1338944	Acvr1b	activin A receptor, type 1B	15	101071953	101111565	GRCm39	+	Component	cell surface (term ID: GO:0009986)
protein coding gene	MGI:2661081	Acvr1c	activin A receptor, type IC	2	58157465	58247907	GRCm39	-	Component	cell surface (term ID: GO:0009986)
protein coding gene	MGI:102806	Acvr2a	activin receptor IIA	2	48704121	48793276	GRCm39	+	Component	cell surface (term ID: GO:0009986)
protein coding gene	MGI:1338946	Acvrl1	activin A receptor, type II-like 1	15	101026403	101043217	GRCm39	+	Component	cell surface (term ID: GO:0009986)
protein coding gene	MGI:1340894	Adam2	a disintegrin and metallopeptidase domain 2	14	66264778	66315182	GRCm39	-	Component	cell surface (term ID: GO:0009986)
protein coding gene	MGI:102518	Adam3	a disintegrin and metallopeptidase domain 3 (cyritestin)	8	25167241	25215868	GRCm39	-	Component	cell surface (term ID: GO:0009986)
protein coding gene	MGI:107825	Adam8	a disintegrin and metallopeptidase domain 8	7	139558845	139572475	GRCm39	-	Component	cell surface (term ID: GO:0009986)
protein coding gene	MGI:105376	Adam9	a disintegrin and metallopeptidase domain 9 (meltrin gamma)	8	25439627	25506943	GRCm39	-	Component	cell surface (term ID: GO:0009986)
protein coding gene	MGI:109548	Adam10	a disintegrin and metallopeptidase domain 10	9	70586279	70687511	GRCm39	+	Component	cell surface (term ID: GO:0009986)
