Type	MGI ID	Symbol	Name	Chr	Start	End	Build	Strand	Best Match Type	Best Match
protein coding gene	MGI:87938	Adrb2	adrenergic receptor, beta 2	18	62310887	62313030	GRCm39	-	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:1919306	1810055G02Rik	RIKEN cDNA 1810055G02 gene	19	3758293	3767881	GRCm39	+	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:1922104	4930402F06Rik	RIKEN cDNA 4930402F06 gene	2	35265574	35287187	GRCm39	-	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:1923109	4930568D16Rik	RIKEN cDNA 4930568D16 gene	2	35244230	35257741	GRCm39	-	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:1914027	4933434E20Rik	RIKEN cDNA 4933434E20 gene	3	89958943	89970648	GRCm39	+	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:2685279	A3galt2	alpha 1,3-galactosyltransferase 2 (isoglobotriaosylceramide synthase)	4	128653051	128663091	GRCm39	+	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:3512453	A4galt	alpha 1,4-galactosyltransferase	15	83110923	83135930	GRCm39	-	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:2143261	A4gnt	alpha-1,4-N-acetylglucosaminyltransferase	9	99494555	99504420	GRCm39	+	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:1929608	Aatf	apoptosis antagonizing transcription factor	11	84313681	84404348	GRCm39	-	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:99607	Abca1	ATP-binding cassette, sub-family A (ABC1), member 1	4	53030787	53159895	GRCm39	-	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:2386607	Abca5	ATP-binding cassette, sub-family A (ABC1), member 5	11	110160195	110228542	GRCm39	-	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:1351646	Abca7	ATP-binding cassette, sub-family A (ABC1), member 7	10	79832328	79851406	GRCm39	+	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:1921354	Abcb6	ATP-binding cassette, sub-family B (MDR/TAP), member 6	1	75148361	75157036	GRCm39	-	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:2443111	Abcc4	ATP-binding cassette, sub-family C (CFTR/MRP), member 4	14	118720104	118943631	GRCm39	-	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:1351644	Abcc5	ATP-binding cassette, sub-family C (CFTR/MRP), member 5	16	20150053	20245144	GRCm39	-	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:107704	Abcg1	ATP binding cassette subfamily G member 1	17	31276668	31336958	GRCm39	+	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:2135738	Abo	ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase, transferase B, alpha 1-3-galactosyltransferase)	2	26732515	26754991	GRCm39	-	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:1920932	Acer2	alkaline ceramidase 2	4	86792633	86853059	GRCm39	+	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:1913440	Acer3	alkaline ceramidase 3	7	97863015	97970415	GRCm39	-	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:87876	Ache	acetylcholinesterase	5	137286516	137292728	GRCm39	+	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:87879	Aco1	aconitase 1	4	40143081	40198338	GRCm39	+	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:1921455	Acsl3	acyl-CoA synthetase long-chain family member 3	1	78635542	78685460	GRCm39	+	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:1343051	Actl7a	actin-like 7a	4	56743422	56744925	GRCm39	+	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:109548	Adam10	a disintegrin and metallopeptidase domain 10	9	70586279	70687511	GRCm39	+	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:105377	Adam19	a disintegrin and metallopeptidase domain 19 (meltrin beta)	11	45946819	46038170	GRCm39	+	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:99675	Adcy3	adenylate cyclase 3	12	4183397	4263525	GRCm39	+	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:1918244	Agbl4	ATP/GTP binding protein-like 4	4	110254858	111521521	GRCm39	+	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:892013	Agrp	agouti related neuropeptide	8	106293327	106306477	GRCm39	-	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:87964	Agtr1a	angiotensin II receptor, type 1a	13	30520424	30566850	GRCm39	+	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:1339977	Agtrap	angiotensin II, type I receptor-associated protein	4	148161518	148172488	GRCm39	-	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:107189	Ahsg	alpha-2-HS-glycoprotein	16	22710765	22718201	GRCm39	+	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:102774	Aimp1	aminoacyl tRNA synthetase complex-interacting multifunctional protein 1	3	132366242	132390131	GRCm39	-	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:1341886	Ajuba	ajuba LIM protein	14	54804929	54815015	GRCm39	-	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:1928488	Akap8	A kinase (PRKA) anchor protein 8	17	32522646	32540212	GRCm39	-	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:2178217	Akap9	A kinase (PRKA) anchor protein (yotiao) 9	5	3977410	4130204	GRCm39	+	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:107796	Akr7a5	aldo-keto reductase family 7, member A5 (aflatoxin aldehyde reductase)	4	139038055	139045737	GRCm39	+	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:87991	Alb	albumin	5	90608756	90624461	GRCm39	+	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:2144489	Alkbh5	alkB homolog 5, RNA demethylase	11	60428509	60449338	GRCm39	+	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:104621	Alx1	ALX homeobox 1	10	102843708	102865501	GRCm39	-	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:88005	Amelx	amelogenin, X-linked	X	167959110	167970196	GRCm39	-	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:1345634	Amfr	autocrine motility factor receptor	8	94698216	94739268	GRCm39	-	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:1353627	Angptl3	angiopoietin-like 3	4	98919191	98926429	GRCm39	+	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:1306797	Aoc3	amine oxidase, copper containing 3	11	101221432	101230256	GRCm39	+	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:2384822	Ap1ar	adaptor-related protein complex 1 associated regulatory protein	3	127600656	127631172	GRCm39	-	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:1328307	Ap1g2	adaptor protein complex AP-1, gamma 2 subunit	14	55336292	55344050	GRCm39	-	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:1333879	Ap3b1	adaptor-related protein complex 3, beta 1 subunit	13	94495468	94702825	GRCm39	+	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:1100869	Ap3b2	adaptor-related protein complex 3, beta 2 subunit	7	81110147	81143673	GRCm39	-	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:107734	Ap3d1	adaptor-related protein complex 3, delta 1 subunit	10	80542790	80578098	GRCm39	-	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:1929212	Ap3m1	adaptor-related protein complex 3, mu 1 subunit	14	21083810	21102603	GRCm39	-	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:1929214	Ap3m2	adaptor-related protein complex 3, mu 2 subunit	8	23277370	23295638	GRCm39	-	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:1337062	Ap3s1	adaptor-related protein complex 3, sigma 1 subunit	18	46874943	46923893	GRCm39	+	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:1337060	Ap3s2	adaptor-related protein complex 3, sigma 2 subunit	7	79525073	79570388	GRCm39	-	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:1336993	Ap4e1	adaptor-related protein complex AP-4, epsilon 1	2	126850637	126909829	GRCm39	+	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:1337063	Ap4m1	adaptor-related protein complex AP-4, mu 1	5	138170283	138178691	GRCm39	+	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:1337065	Ap4s1	adaptor-related protein complex AP-4, sigma 1	12	51737816	51791569	GRCm39	+	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:1860297	Apba1	amyloid beta (A4) precursor protein binding, family  A, member 1	19	23736251	23926960	GRCm39	+	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:108405	Apbb2	amyloid beta (A4) precursor protein-binding, family B, member 2	5	66456046	66776127	GRCm39	-	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:88039	Apc	APC, WNT signaling pathway regulator	18	34353977	34455605	GRCm39	+	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:1346052	Apc2	APC regulator of WNT signaling pathway 2	10	80131811	80154097	GRCm39	+	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:88046	Aplp1	amyloid beta (A4) precursor-like protein 1	7	30134407	30144960	GRCm39	-	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:1913363	Apoa5	apolipoprotein A-V	9	46179931	46183217	GRCm39	+	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:88057	Apoe	apolipoprotein E	7	19430034	19433113	GRCm39	-	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:88059	App	amyloid beta (A4) precursor protein	16	84751236	84972187	GRCm39	-	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:1096865	Aqp2	aquaporin 2	15	99476937	99482426	GRCm39	+	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:1916960	Arap1	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1	7	100997274	101061793	GRCm39	+	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:2387591	Arcn1	archain 1	9	44653440	44679105	GRCm39	-	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:99595	Arf2	ADP-ribosylation factor 2	11	103857565	103876163	GRCm39	+	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:99432	Arf3	ADP-ribosylation factor 3	15	98635505	98660999	GRCm39	-	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:99433	Arf4	ADP-ribosylation factor 4	14	26359289	26377997	GRCm39	+	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:99434	Arf5	ADP-ribosylation factor 5	6	28423603	28426601	GRCm39	+	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:99435	Arf6	ADP-ribosylation factor 6	12	69418924	69420557	GRCm39	+	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:1924288	Arfgap2	ADP-ribosylation factor GTPase activating protein 2	2	91095319	91107276	GRCm39	+	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:1913501	Arfgap3	ADP-ribosylation factor GTPase activating protein 3	15	83183940	83234448	GRCm39	-	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:1923938	Arfrp1	ADP-ribosylation factor related protein 1	2	180999483	181007197	GRCm39	-	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:2159577	Arhgap4	Rho GTPase activating protein 4	X	72937958	72954945	GRCm39	-	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:1918685	Arhgap21	Rho GTPase activating protein 21	2	20852730	20973692	GRCm39	-	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:2450166	Arhgap32	Rho GTPase activating protein 32	9	32027432	32179742	GRCm39	+	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:103264	Arhgef2	rho/rac guanine nucleotide exchange factor (GEF) 2	3	88513273	88555359	GRCm39	+	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:99436	Arl1	ADP-ribosylation factor-like 1	10	88566720	88579956	GRCm39	+	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:1928393	Arl2	ADP-ribosylation factor-like 2	19	6184419	6191167	GRCm39	-	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:1929699	Arl3	ADP-ribosylation factor-like 3	19	46519548	46561621	GRCm39	-	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:88075	Arsb	arylsulfatase B	13	93908187	94079524	GRCm39	+	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:1916115	Arv1	ARV1 homolog, fatty acid homeostasis modulator	8	125448878	125460862	GRCm39	+	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:1859310	Asah2	N-acylsphingosine amidohydrolase 2	19	31962046	32080540	GRCm39	-	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:2685438	Asap2	ArfGAP with SH3 domain, ankyrin repeat and PH domain 2	12	21161369	21320172	GRCm39	+	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:2183158	Ash1l	ASH1 like histone lysine methyltransferase	3	88857929	88986682	GRCm39	+	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:1194915	Asic1	acid-sensing (proton-gated) ion channel 1	15	99568249	99599011	GRCm39	+	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:1913869	Atat1	alpha tubulin acetyltransferase 1	17	36208487	36220967	GRCm39	-	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:1926157	Atf6	activating transcription factor 6	1	170532243	170695340	GRCm39	-	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:1921241	Atl1	atlastin GTPase 1	12	69939879	70010859	GRCm39	+	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:88105	Atp1a1	ATPase, Na+/K+ transporting, alpha 1 polypeptide	3	101483535	101512000	GRCm39	-	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:88107	Atp1a3	ATPase, Na+/K+ transporting, alpha 3 polypeptide	7	24677592	24705383	GRCm39	-	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:103286	Atp6v0a1	ATPase, H+ transporting, lysosomal V0 subunit A1	11	100900278	100954545	GRCm39	+	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:88116	Atp6v0c	ATPase, H+ transporting, lysosomal V0 subunit C	17	24382839	24388652	GRCm39	-	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:1330848	Atp8a1	ATPase, aminophospholipid transporter (APLT), class I, type 8A, member 1	5	67775483	68004777	GRCm39	-	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:1354710	Atp8a2	ATPase, aminophospholipid transporter-like, class I, type 8A, member 2	14	59875989	60434628	GRCm39	-	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:1859665	Atp8b1	ATPase, class I, type 8B, member 1	18	64662050	64794342	GRCm39	-	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:1859660	Atp8b2	ATPase, class I, type 8B, member 2	3	89846795	89870645	GRCm39	-	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:1859664	Atp8b4	ATPase, class I, type 8B, member 4	2	126162893	126342589	GRCm39	-	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:1354757	Atp9b	ATPase, class II, type 9B	18	80777356	80977275	GRCm39	-	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:1354735	Atp11a	ATPase, class VI, type 11A	8	12807016	12918728	GRCm39	+	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:1923545	Atp11b	ATPase, class VI, type 11B	3	35808255	35910425	GRCm39	+	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:108028	Atr	ataxia telangiectasia and Rad3 related	9	95739650	95833834	GRCm39	+	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:1277223	Atxn2	ataxin 2	5	121849672	121954372	GRCm39	+	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:2140475	AU040320	expressed sequence AU040320	4	126647331	126763487	GRCm39	+	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:1347010	Avpr1b	arginine vasopressin receptor 1B	1	131526977	131539738	GRCm39	+	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:1096327	Axin1	axin 1	17	26357662	26414785	GRCm39	+	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:2442093	Azin2	antizyme inhibitor 2	4	128824026	128856235	GRCm39	-	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:88127	B2m	beta-2 microglobulin	2	121978168	121983563	GRCm39	+	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:1342058	B4galnt2	beta-1,4-N-acetyl-galactosaminyl transferase 2	11	95756769	95805717	GRCm39	-	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:95705	B4galt1	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1	4	40804602	40854005	GRCm39	-	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:1858493	B4galt2	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 2	4	117730197	117740759	GRCm39	-	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:1928767	B4galt3	UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 3	1	171097898	171104468	GRCm39	+	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:1927169	B4galt5	UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 5	2	167140364	167191103	GRCm39	-	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:1928380	B4galt6	UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 6	18	20817656	20879461	GRCm39	-	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:2384987	B4galt7	xylosylprotein beta1,4-galactosyltransferase, polypeptide 7 (galactosyltransferase I)	13	55747709	55758256	GRCm39	+	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:1919680	B4gat1	beta-1,4-glucuronyltransferase 1	19	5088854	5091159	GRCm39	+	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:1346542	Bace1	beta-site APP cleaving enzyme 1	9	45749843	45774791	GRCm39	+	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:1860440	Bace2	beta-site APP-cleaving enzyme 2	16	97157942	97244136	GRCm39	+	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:2137336	Baiap2	brain-specific angiogenesis inhibitor 1-associated protein 2	11	119833762	119897608	GRCm39	+	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:109617	Barx2	BarH-like homeobox 2	9	31757340	31824581	GRCm39	-	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:107187	Bcl6	B cell leukemia/lymphoma 6	16	23783802	23807602	GRCm39	-	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:1924828	Bcl9	B cell CLL/lymphoma 9	3	97110978	97205233	GRCm39	-	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:102845	Bdkrb2	bradykinin receptor, beta 2	12	105529485	105561496	GRCm39	+	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:1891828	Becn1	beclin 1, autophagy related	11	101179084	101193112	GRCm39	-	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:1914871	Bend5	BEN domain containing 5	4	111272203	111317495	GRCm39	+	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:88156	Bglap	bone gamma carboxyglutamate protein	3	88290808	88291771	GRCm39	-	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:88157	Bglap2	bone gamma-carboxyglutamate protein 2	3	88285043	88286006	GRCm39	-	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:88155	Bglap3	bone gamma-carboxyglutamate protein 3	3	88275923	88280048	GRCm39	-	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:1101760	Bicd1	BICD cargo adaptor 1	6	149310384	149464827	GRCm39	+	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:1924145	Bicd2	BICD cargo adaptor 2	13	49495061	49540502	GRCm39	+	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:1276108	Birc6	baculoviral IAP repeat-containing 6	17	74835290	75010351	GRCm39	+	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:2676458	Birc7	baculoviral IAP repeat-containing 7 (livin)	2	180570816	180575803	GRCm39	+	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:88176	Bmp1	bone morphogenetic protein 1	14	70711998	70757674	GRCm39	-	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:1916800	Bst2	bone marrow stromal cell antigen 2	8	71986899	71990100	GRCm39	-	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:1352749	Cabp2	calcium binding protein 2	19	4131578	4137340	GRCm39	+	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:88252	Calr	calreticulin	8	85568717	85573560	GRCm39	-	Component	Golgi apparatus (term ID: GO:0005794)
protein coding gene	MGI:1097158	Calu	calumenin	6	29348105	29376674	GRCm39	+	Component	Golgi apparatus (term ID: GO:0005794)
