Type	MGI ID	Symbol	Name	Chr	Start	End	Build	Strand	Best Match Type	Best Match
protein coding gene	MGI:87991	Alb	albumin	5	90608756	90624461	GRCm39	+	Component	endoplasmic reticulum (term ID: GO:0005783)
protein coding gene	MGI:1913300	0610009B22Rik	RIKEN cDNA 0610009B22 gene	11	51576213	51579701	GRCm39	-	Component	endoplasmic reticulum (term ID: GO:0005783)
protein coding gene	MGI:1919494	1600014C10Rik	RIKEN cDNA 1600014C10 gene	7	37882642	37896992	GRCm39	+	Component	endoplasmic reticulum (term ID: GO:0005783)
protein coding gene	MGI:1917115	A1cf	APOBEC1 complementation factor	19	31846164	31926395	GRCm39	+	Component	endoplasmic reticulum (term ID: GO:0005783)
protein coding gene	MGI:1197518	Aatk	apoptosis-associated tyrosine kinase	11	119898139	119937993	GRCm39	-	Component	endoplasmic reticulum (term ID: GO:0005783)
protein coding gene	MGI:109424	Abca4	ATP-binding cassette, sub-family A (ABC1), member 4	3	121838092	121973772	GRCm39	+	Component	endoplasmic reticulum (term ID: GO:0005783)
protein coding gene	MGI:2386846	Abca8a	ATP-binding cassette, sub-family A (ABC1), member 8a	11	109916460	109986804	GRCm39	-	Component	endoplasmic reticulum (term ID: GO:0005783)
protein coding gene	MGI:1351668	Abca8b	ATP-binding cassette, sub-family A (ABC1), member 8b	11	109823016	109886671	GRCm39	-	Component	endoplasmic reticulum (term ID: GO:0005783)
protein coding gene	MGI:3625331	Abca17	ATP-binding cassette, sub-family A (ABC1), member 17	17	24483233	24570042	GRCm39	-	Component	endoplasmic reticulum (term ID: GO:0005783)
protein coding gene	MGI:2441679	Abcc12	ATP-binding cassette, sub-family C (CFTR/MRP), member 12	8	87231197	87307317	GRCm39	-	Component	endoplasmic reticulum (term ID: GO:0005783)
protein coding gene	MGI:107704	Abcg1	ATP binding cassette subfamily G member 1	17	31276668	31336958	GRCm39	+	Component	endoplasmic reticulum (term ID: GO:0005783)
protein coding gene	MGI:87859	Abl1	c-abl oncogene 1, non-receptor tyrosine kinase	2	31578388	31694239	GRCm39	+	Component	endoplasmic reticulum (term ID: GO:0005783)
protein coding gene	MGI:2181962	Acer1	alkaline ceramidase 1	17	57260490	57289126	GRCm39	-	Component	endoplasmic reticulum (term ID: GO:0005783)
protein coding gene	MGI:1913440	Acer3	alkaline ceramidase 3	7	97863015	97970415	GRCm39	-	Component	endoplasmic reticulum (term ID: GO:0005783)
protein coding gene	MGI:87879	Aco1	aconitase 1	4	40143081	40198338	GRCm39	+	Component	endoplasmic reticulum (term ID: GO:0005783)
protein coding gene	MGI:102797	Acsl1	acyl-CoA synthetase long-chain family member 1	8	46924074	46989088	GRCm39	+	Component	endoplasmic reticulum (term ID: GO:0005783)
protein coding gene	MGI:1921455	Acsl3	acyl-CoA synthetase long-chain family member 3	1	78635542	78685460	GRCm39	+	Component	endoplasmic reticulum (term ID: GO:0005783)
protein coding gene	MGI:1354713	Acsl4	acyl-CoA synthetase long-chain family member 4	X	141100989	141173531	GRCm39	-	Component	endoplasmic reticulum (term ID: GO:0005783)
protein coding gene	MGI:1919129	Acsl5	acyl-CoA synthetase long-chain family member 5	19	55240298	55285060	GRCm39	+	Component	endoplasmic reticulum (term ID: GO:0005783)
protein coding gene	MGI:894291	Acsl6	acyl-CoA synthetase long-chain family member 6	11	54194624	54255582	GRCm39	+	Component	endoplasmic reticulum (term ID: GO:0005783)
protein coding gene	MGI:1916320	Adamts9	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 9	6	92749680	92920473	GRCm39	-	Component	endoplasmic reticulum (term ID: GO:0005783)
protein coding gene	MGI:106675	Adipoq	adiponectin, C1Q and collagen domain containing	16	22965286	22976718	GRCm39	+	Component	endoplasmic reticulum (term ID: GO:0005783)
protein coding gene	MGI:99401	Adora1	adenosine A1 receptor	1	134126961	134163169	GRCm39	-	Component	endoplasmic reticulum (term ID: GO:0005783)
protein coding gene	MGI:1919391	Adpgk	ADP-dependent glucokinase	9	59198855	59223483	GRCm39	+	Component	endoplasmic reticulum (term ID: GO:0005783)
protein coding gene	MGI:104873	Aga	aspartylglucosaminidase	8	53964762	53976456	GRCm39	+	Component	endoplasmic reticulum (term ID: GO:0005783)
protein coding gene	MGI:2442495	Agmo	alkylglycerol monooxygenase	12	37291640	37632201	GRCm39	+	Component	endoplasmic reticulum (term ID: GO:0005783)
protein coding gene	MGI:1932075	Agpat1	1-acylglycerol-3-phosphate O-acyltransferase 1 (lysophosphatidic acid acyltransferase, alpha)	17	34823236	34832423	GRCm39	+	Component	endoplasmic reticulum (term ID: GO:0005783)
protein coding gene	MGI:1914762	Agpat2	1-acylglycerol-3-phosphate O-acyltransferase 2 (lysophosphatidic acid acyltransferase, beta)	2	26483069	26494429	GRCm39	-	Component	endoplasmic reticulum (term ID: GO:0005783)
protein coding gene	MGI:1915512	Agpat4	1-acylglycerol-3-phosphate O-acyltransferase 4 (lysophosphatidic acid acyltransferase, delta)	17	12337591	12438532	GRCm39	+	Component	endoplasmic reticulum (term ID: GO:0005783)
protein coding gene	MGI:1344405	Agr2	anterior gradient 2	12	36042924	36054080	GRCm39	+	Component	endoplasmic reticulum (term ID: GO:0005783)
protein coding gene	MGI:2685734	Agr3	anterior gradient 3	12	35975620	35999736	GRCm39	+	Component	endoplasmic reticulum (term ID: GO:0005783)
protein coding gene	MGI:1339977	Agtrap	angiotensin II, type I receptor-associated protein	4	148161518	148172488	GRCm39	-	Component	endoplasmic reticulum (term ID: GO:0005783)
protein coding gene	MGI:2385184	Ahcyl1	S-adenosylhomocysteine hydrolase-like 1	3	107570436	107603876	GRCm39	-	Component	endoplasmic reticulum (term ID: GO:0005783)
protein coding gene	MGI:1921590	Ahcyl2	S-adenosylhomocysteine hydrolase-like 2	6	29768378	29912309	GRCm39	+	Component	endoplasmic reticulum (term ID: GO:0005783)
protein coding gene	MGI:2387603	Ahsa1	AHA1, activator of heat shock protein ATPase 1	12	87313253	87320772	GRCm39	+	Component	endoplasmic reticulum (term ID: GO:0005783)
protein coding gene	MGI:1919418	Aifm3	apoptosis-inducing factor, mitochondrion-associated 3	16	17307475	17325349	GRCm39	+	Component	endoplasmic reticulum (term ID: GO:0005783)
protein coding gene	MGI:102774	Aimp1	aminoacyl tRNA synthetase complex-interacting multifunctional protein 1	3	132366242	132390131	GRCm39	-	Component	endoplasmic reticulum (term ID: GO:0005783)
protein coding gene	MGI:104729	Akap1	A kinase (PRKA) anchor protein 1	11	88721618	88755412	GRCm39	-	Component	endoplasmic reticulum (term ID: GO:0005783)
protein coding gene	MGI:1353451	Aldh3a1	aldehyde dehydrogenase family 3, subfamily A1	11	61099336	61109244	GRCm39	+	Component	endoplasmic reticulum (term ID: GO:0005783)
protein coding gene	MGI:2384774	Alg1	asparagine-linked glycosylation 1 (beta-1,4-mannosyltransferase)	16	5051485	5062776	GRCm39	+	Component	endoplasmic reticulum (term ID: GO:0005783)
protein coding gene	MGI:2146159	Alg10b	asparagine-linked glycosylation 10B (alpha-1,2-glucosyltransferase)	15	90108514	90114757	GRCm39	+	Component	endoplasmic reticulum (term ID: GO:0005783)
protein coding gene	MGI:1914824	Alg13	asparagine-linked glycosylation 13	X	143100962	143157446	GRCm39	+	Component	endoplasmic reticulum (term ID: GO:0005783)
protein coding gene	MGI:2384034	Alkbh1	alkB homolog 1, histone H2A dioxygenase	12	87474847	87490609	GRCm39	-	Component	endoplasmic reticulum (term ID: GO:0005783)
protein coding gene	MGI:107505	Alox5ap	arachidonate 5-lipoxygenase activating protein	5	149201814	149224963	GRCm39	+	Component	endoplasmic reticulum (term ID: GO:0005783)
protein coding gene	MGI:88002	Ambp	alpha 1 microglobulin/bikunin precursor	4	63061512	63072409	GRCm39	-	Component	endoplasmic reticulum (term ID: GO:0005783)
protein coding gene	MGI:2443564	Ambra1	autophagy/beclin 1 regulator 1	2	91560479	91749194	GRCm39	+	Component	endoplasmic reticulum (term ID: GO:0005783)
protein coding gene	MGI:1915987	Angel1	angel homolog 1	12	86747276	86773234	GRCm39	-	Component	endoplasmic reticulum (term ID: GO:0005783)
protein coding gene	MGI:1261856	Ankle2	ankyrin repeat and LEM domain containing 2	5	110378870	110404517	GRCm39	+	Component	endoplasmic reticulum (term ID: GO:0005783)
protein coding gene	MGI:2139746	Ankrd13c	ankyrin repeat domain 13c	3	157652876	157713671	GRCm39	+	Component	endoplasmic reticulum (term ID: GO:0005783)
protein coding gene	MGI:3576659	Ano5	anoctamin 5	7	51160777	51248457	GRCm39	+	Component	endoplasmic reticulum (term ID: GO:0005783)
protein coding gene	MGI:3052714	Ano7	anoctamin 7	1	93301652	93332025	GRCm39	+	Component	endoplasmic reticulum (term ID: GO:0005783)
protein coding gene	MGI:108447	Anp32a	acidic (leucine-rich) nuclear phosphoprotein 32 family, member A	9	62248625	62286086	GRCm39	+	Component	endoplasmic reticulum (term ID: GO:0005783)
protein coding gene	MGI:106008	Anxa5	annexin A5	3	36503072	36530036	GRCm39	-	Component	endoplasmic reticulum (term ID: GO:0005783)
protein coding gene	MGI:1306797	Aoc3	amine oxidase, copper containing 3	11	101221432	101230256	GRCm39	+	Component	endoplasmic reticulum (term ID: GO:0005783)
protein coding gene	MGI:107765	Apbb1	amyloid beta (A4) precursor protein-binding, family B, member 1	7	105207690	105230860	GRCm39	-	Component	endoplasmic reticulum (term ID: GO:0005783)
protein coding gene	MGI:108405	Apbb2	amyloid beta (A4) precursor protein-binding, family B, member 2	5	66456046	66776127	GRCm39	-	Component	endoplasmic reticulum (term ID: GO:0005783)
